                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.65951,                0.40432,                0.88675,                 0.9077,                0.81955,                0.90527,                0.68164,                0.91613,                0.66168,                 1.0356,             0.00029969,             0.00029969,             0.00029969
                     95,                0.68652,                0.41153,                0.88974,                0.88193,                0.83833,                 0.8992,                0.66592,                0.97493,                0.69394,                 1.0619,             0.00029617,             0.00029617,             0.00029617
                     96,                0.66295,                0.39923,                0.88417,                0.85729,                0.85105,                0.90381,                0.67964,                0.92713,                0.63318,                 1.0351,             0.00029265,             0.00029265,             0.00029265
                     97,                0.63445,                0.39048,                0.87781,                0.88813,                   0.83,                0.90551,                0.66242,                0.97817,                0.67785,                 1.0474,             0.00028913,             0.00028913,             0.00028913
                     98,                0.62622,                0.38779,                0.86702,                0.90058,                  0.825,                0.90093,                0.65947,                0.98977,                0.66235,                 1.0605,              0.0002856,              0.0002856,              0.0002856
                     99,                0.63968,                0.39083,                0.87864,                0.87903,                0.83833,                0.90006,                0.66136,                 1.0853,                0.80128,                  1.144,             0.00028207,             0.00028207,             0.00028207
                    100,                0.61498,                0.37878,                0.86898,                 0.9195,                0.79955,                0.89524,                0.66322,                 1.1006,                0.84979,                  1.187,             0.00027853,             0.00027853,             0.00027853
                    101,                 0.6206,                0.37894,                0.86673,                0.92227,                   0.81,                0.89407,                0.65804,                 0.9758,                0.70955,                 1.0666,               0.000275,               0.000275,               0.000275
                    102,                0.62046,                0.38414,                0.87055,                0.91765,                0.82833,                0.90169,                0.67301,                0.90823,                0.60578,                 1.0232,             0.00027147,             0.00027147,             0.00027147
                    103,                0.60124,                0.38149,                 0.8621,                 0.9316,                  0.825,                0.91298,                0.68276,                0.87941,                0.57945,                 1.0261,             0.00026793,             0.00026793,             0.00026793
                    104,                0.59212,                0.37174,                0.86349,                0.93105,                0.83333,                 0.9156,                0.68999,                0.89273,                0.57581,                 1.0299,              0.0002644,              0.0002644,              0.0002644
                    105,                0.61461,                0.37487,                0.86855,                0.93074,                0.82867,                0.90597,                0.68575,                0.89365,                0.58941,                  1.009,             0.00026087,             0.00026087,             0.00026087
                    106,                0.63358,                0.38009,                0.88174,                0.89985,                 0.8386,                0.90281,                 0.6767,                0.95728,                0.62894,                 1.0495,             0.00025735,             0.00025735,             0.00025735
                    107,                 0.6092,                0.37626,                0.86614,                 0.9092,                0.83444,                0.89874,                0.66046,                0.97119,                0.62277,                 1.0536,             0.00025383,             0.00025383,             0.00025383
                    108,                0.60178,                0.37202,                0.86801,                0.94472,                0.81167,                0.90244,                0.68307,                0.93913,                0.59803,                 1.0626,             0.00025031,             0.00025031,             0.00025031
                    109,                0.60182,                0.36966,                0.86949,                0.95438,                0.80188,                0.90107,                0.67716,                0.96266,                0.62104,                 1.0763,              0.0002468,              0.0002468,              0.0002468
                    110,                0.58635,                0.35831,                0.86083,                0.92022,                0.82669,                 0.9011,                0.68087,                0.96332,                0.59108,                 1.0626,              0.0002433,              0.0002433,              0.0002433
                    111,                0.58571,                0.36033,                0.85788,                 0.8938,                0.83667,                0.90187,                 0.6794,                0.94109,                0.57605,                 1.0441,              0.0002398,              0.0002398,              0.0002398
                    112,                0.59716,                0.36514,                0.86761,                0.93418,                0.79333,                0.90218,                0.68674,                0.94017,                0.64835,                 1.0415,             0.00023632,             0.00023632,             0.00023632
                    113,                0.59833,                0.36365,                0.86627,                0.92385,                0.81167,                0.90491,                0.69948,                0.91649,                0.60865,                 1.0264,             0.00023284,             0.00023284,             0.00023284
                    114,                0.58138,                0.35669,                0.85746,                0.89254,                 0.8306,                0.90422,                0.69245,                0.89629,                0.58804,                 1.0254,             0.00022937,             0.00022937,             0.00022937
                    115,                0.57561,                0.35108,                0.86018,                0.92526,                0.82667,                0.91256,                0.70001,                0.90626,                0.56736,                 1.0247,             0.00022592,             0.00022592,             0.00022592
                    116,                0.56491,                0.35415,                0.85723,                0.91467,                0.83667,                 0.9177,                0.69968,                0.90648,                0.57529,                 1.0291,             0.00022247,             0.00022247,             0.00022247
                    117,                0.57536,                0.35516,                0.85042,                0.92163,                0.82317,                0.91204,                0.68383,                0.96991,                0.59028,                 1.0588,             0.00021904,             0.00021904,             0.00021904
                    118,                0.56356,                0.34907,                0.85332,                0.91249,                 0.8342,                0.91237,                0.69379,                0.92644,                0.57344,                 1.0325,             0.00021563,             0.00021563,             0.00021563
                    119,                0.58418,                0.35632,                0.86527,                 0.8801,                0.85333,                0.90618,                0.67792,                0.98488,                0.61653,                 1.0674,             0.00021223,             0.00021223,             0.00021223
                    120,                0.55997,                0.34544,                0.84843,                0.92012,                   0.82,                0.90835,                0.69049,                0.92093,                 0.5956,                 1.0209,             0.00020884,             0.00020884,             0.00020884
                    121,                0.59483,                0.35858,                0.85547,                0.91983,                 0.8223,                0.91026,                0.67472,                0.95909,                0.59334,                 1.0325,             0.00020547,             0.00020547,             0.00020547
                    122,                0.57166,                0.35169,                0.85753,                 0.9068,                0.85833,                0.91219,                0.69325,                 0.9253,                0.57632,                 1.0324,             0.00020212,             0.00020212,             0.00020212
                    123,                0.54886,                0.33341,                0.84926,                0.93474,                0.84333,                0.91449,                0.69322,                0.94544,                0.56222,                 1.0367,             0.00019878,             0.00019878,             0.00019878
                    124,                0.56028,                0.33949,                0.85182,                0.90464,                0.84833,                0.91113,                0.68557,                0.91827,                0.56551,                 1.0313,             0.00019547,             0.00019547,             0.00019547
                    125,                0.54252,                0.33404,                 0.8506,                0.91412,                0.83375,                0.90725,                0.69166,                0.90558,                 0.5645,                 1.0398,             0.00019217,             0.00019217,             0.00019217
                    126,                0.55408,                0.34134,                0.85818,                0.90592,                 0.8345,                0.90915,                0.69206,                0.94978,                0.60387,                 1.0825,              0.0001889,              0.0001889,              0.0001889
                    127,                0.55157,                 0.3391,                0.85012,                0.90915,                 0.8339,                 0.9157,                0.69657,                0.94478,                0.60267,                 1.0644,             0.00018564,             0.00018564,             0.00018564
                    128,                0.54575,                0.33758,                0.84866,                 0.9012,                0.85135,                 0.9135,                0.69909,                0.93388,                0.59089,                 1.0393,             0.00018241,             0.00018241,             0.00018241
